,portfolio_value_total,portfolio_value,leverage,leverage_total,cash_weight_percentage,cash_weight_percentage_total,unrealized_pnl_percentage,unrealized_pnl_percentage_total,timestamp
0,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1325322000.0
1,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1325235600.0
2,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1325149200.0
3,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1325062800.0
4,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324803600.0
5,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324717200.0
6,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324630800.0
7,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324544400.0
8,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324458000.0
9,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324198800.0
10,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324112400.0
11,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1324026000.0
12,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323939600.0
13,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323853200.0
14,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323594000.0
15,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323507600.0
16,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323421200.0
17,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323334800.0
18,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1323248400.0
19,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322989200.0
20,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322902800.0
21,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322816400.0
22,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322730000.0
23,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322643600.0
24,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322384400.0
25,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322298000.0
26,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322211600.0
27,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322125200.0
28,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1322038800.0
29,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321693200.0
30,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321606800.0
31,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321520400.0
32,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321434000.0
33,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321174800.0
34,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1321088400.0
35,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320915600.0
36,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320829200.0
37,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320570000.0
38,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320483600.0
39,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320397200.0
40,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320310800.0
41,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1320224400.0
42,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319965200.0
43,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319878800.0
44,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319792400.0
45,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319706000.0
46,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319619600.0
47,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319360400.0
48,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319274000.0
49,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319187600.0
50,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319101200.0
51,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1319014800.0
52,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318755600.0
53,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318669200.0
54,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318582800.0
55,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318496400.0
56,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318410000.0
57,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318150800.0
58,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1318064400.0
59,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317978000.0
60,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317891600.0
61,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317805200.0
62,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317546000.0
63,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317459600.0
64,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317373200.0
65,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1317286800.0
66,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316941200.0
67,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316854800.0
68,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316768400.0
69,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316682000.0
70,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316595600.0
71,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316336400.0
72,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316250000.0
73,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316163600.0
74,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1316077200.0
75,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315990800.0
76,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315731600.0
77,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315645200.0
78,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315558800.0
79,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315472400.0
80,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315386000.0
81,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315126800.0
82,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1315040400.0
83,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314954000.0
84,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314867600.0
85,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314781200.0
86,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314522000.0
87,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314435600.0
88,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314349200.0
89,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314262800.0
90,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1314176400.0
91,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313917200.0
92,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313830800.0
93,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313744400.0
94,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313658000.0
95,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313571600.0
96,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313312400.0
97,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313226000.0
98,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313139600.0
99,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1313053200.0
100,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312966800.0
101,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312707600.0
102,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312621200.0
103,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312448400.0
104,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312362000.0
105,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312102800.0
106,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1312016400.0
107,10000.0,10000.0,0.0,0.0,100.0,100.0,0.0,0.0,-1311930000.0
